input,output
how did you discover a security breach in your system,"We lost our minds. Because the existence of this screenshot meant three things:The support agent had logged into the Snowflake app with the username and password we gave PodesData. That implied our database password wasn’t locked in some encrypted vault, but was out in the open, available to any enterprising support agent who thought it would be useful to poke around.Once they logged in, the agent had manually written a query and looked at the results. In the screenshot, they were looking at the data we were trying to debug, but they could’ve written whatever query they wanted. They were in our house, and could open whatever drawers they wanted."
"Have you ever experienced or heard about a significant data security breach at a company? How did the company handle it, and what were the consequences?","Once they logged in, the agent had manually written a query and looked at the results. In the screenshot, they were looking at the data we were trying to debug, but they could’ve written whatever query they wanted. They were in our house, and could open whatever drawers they wanted.This had all happened because of an unremarkable issue for an unremarkable customer. A front-line support agent wrote the query. Our ticket hadn’t been escalated to PodesData’s senior staff; the problem wasn’t urgent. This practice, of copying plaintext passwords, logging into customer accounts, and looking at whatever data they deemed useful, wasn’t an exception in an emergency. It was, by all appearances, standard procedure.We threw a tantrum, canceled our contract on the spot, and migrated to a competitor within a few days. But, while this was bad, it wasn't exactly surprising . If you work around startups for a while—or for a few weeks, really—you’ll see dozens of these stories. Of data being passed around encrypted thumb drives. Of passwords accidentally posted in public Github repos. Of unsecured laptops being left at coffee shops. Of every employee having access to production databases that, as we were told by PodesData, they are instructed but technically not required to get permission to use."
Can you share a story about a time when a startup you were involved with faced a significant security issue?,"We threw a tantrum, canceled our contract on the spot, and migrated to a competitor within a few days. But, while this was bad, it wasn't exactly surprising . If you work around startups for a while—or for a few weeks, really—you’ll see dozens of these stories. Of data being passed around encrypted thumb drives. Of passwords accidentally posted in public Github repos. Of unsecured laptops being left at coffee shops. Of every employee having access to production databases that, as we were told by PodesData, they are instructed but technically not required to get permission to use.Every SaaS company has carefully-worded security policies that are written by lawyers. And then they have lived security policies, which are usually “most people don’t know how to write SQL, so it’s probably fine.”I mean, it was an acquihire, right?"
"Why do companies engage in acquihires, and what are some notable examples?","I mean, it was an acquihire, right?For the second year in a row, Databricks announced a billion-dollar acquisition on the first day of their biggest rival’s annual conference. 13 In 2023, Databricks acquired MosaicML, then a two-year old startup that was making a few million dollars a year in revenue, for $1.3 billion. This year, Databricks bought Tabular , which is a piece of database middleware that was attempting to turn an open-source data format into a product, for between one and two billion dollars .Neither deals were traditional nine-figure tech acquisitions, in which an acquirer is looking to buy a mature product, customers, and a revenue stream. Instead, they were both about hiring teams. In MosaicML, Databricks bought a bunch of experienced AI researchers (and some GPUs) in a bet that every enterprise will eventually want to train their own LLM . In Tabular, Databricks bought the architects of a popular open-source framework. When Databricks announced the acquisition, they made absolutely no mention of the Tabular product, its business, or anything that had been created from the day after its founding. By all appearances, Databricks wasn’t interested in the company, its customers, its community, or even a single line of its code. What they wanted was “ the original Iceberg team .”"
why are acquihires becoming more common in the tech industry,"Neither deals were traditional nine-figure tech acquisitions, in which an acquirer is looking to buy a mature product, customers, and a revenue stream. Instead, they were both about hiring teams. In MosaicML, Databricks bought a bunch of experienced AI researchers (and some GPUs) in a bet that every enterprise will eventually want to train their own LLM . In Tabular, Databricks bought the architects of a popular open-source framework. When Databricks announced the acquisition, they made absolutely no mention of the Tabular product, its business, or anything that had been created from the day after its founding. By all appearances, Databricks wasn’t interested in the company, its customers, its community, or even a single line of its code. What they wanted was “ the original Iceberg team .”That’s how the world seems to work in the AI Upside Down we’re currently living in. Acquihires are no longer soft landings; they’re were all the money is.Because businesses can be valued in two ways: Based on their business fundamentals, or based on talent and hype. If you’re valued based on your business, it’s brutal out there . Revenue multiples are at historic lows, and investors punishing companies that are growing slowly ."
why are some startups valued so highly despite having no revenue,"Because businesses can be valued in two ways: Based on their business fundamentals, or based on talent and hype. If you’re valued based on your business, it’s brutal out there . Revenue multiples are at historic lows, and investors punishing companies that are growing slowly .But for companies that are are judged based on their teams, their valuations are effectively uncapped. A viral AI company founded by gold-medalist engineers is worth 2 billion dollars in six months . Another AI startup that has a bunch of employees with low Erdos numbers to “ Attention is All You Need ” (Attention numbers? I don’t know) raised 220 million dollars less than a year after being founded. A company that builds a Jeff Dunham puppet as a chatbot (and is definitely going to get sued by Tesla shareholders ) is worth 18 billion dollars , because Elon Musk.As always, Russ Hanneman was right : If you show revenue, people will ask how much, and it will never be enough. But if you have no revenue, you can be a pure AI play. And right now, no multiple is higher than the Attention number multiple."
how important is revenue for startups seeking investment,"As always, Russ Hanneman was right : If you show revenue, people will ask how much, and it will never be enough. But if you have no revenue, you can be a pure AI play. And right now, no multiple is higher than the Attention number multiple.Aka APT28 aka Pawn Storm aka Sofacy Group aka Sednit aka Tsar Team aka STRONTIUM aka Forest Blizzard aka GRU Unit 26165.Well, sorta, we actually bought some software that did most of it for us in a few weeks. But the important thing is that we have the certificate , right?"
how did Snowflake handle a security breach?,"Well, sorta, we actually bought some software that did most of it for us in a few weeks. But the important thing is that we have the certificate , right?Are we allowed to even ask this question?This isn’t entirely true. An internal account that Snowflake used for customer demos was compromised, because a Snowflake employee appears to have fallen victim to the same hacking campaign that Snowflake’s customers did. However, the information in that internal account wasn’t, it appears, used to hack into any other Snowflake accounts. It’s as though the hackers stole a bunch of PIN numbers from a bank’s customers, including the PIN number for one of the bank’s corporate checking accounts. It’s not a great look, but that PIN number didn’t give them access to anyone else’s PIN numbers."
what are the different types of hacking vulnerabilities,"This isn’t entirely true. An internal account that Snowflake used for customer demos was compromised, because a Snowflake employee appears to have fallen victim to the same hacking campaign that Snowflake’s customers did. However, the information in that internal account wasn’t, it appears, used to hack into any other Snowflake accounts. It’s as though the hackers stole a bunch of PIN numbers from a bank’s customers, including the PIN number for one of the bank’s corporate checking accounts. It’s not a great look, but that PIN number didn’t give them access to anyone else’s PIN numbers.Username: zuck. Password: dadada . No dice.Roughly, there are two types of vulnerabilities: Technical and social. Technical hacks are those that outwit the code itself—it’s like cracking a safe with a drill or by Beautiful Minding the way the safe feels . Social hacks are those that exploit people, like convincing someone that you’re their boss and you need them to send you their email password. Snowflake, and cloud software in general, is probably more technically secure than most self-hosted databases and applications, just as an ATM is probably more physically secure than a safe in someone’s house. But they are almost certainly less socially secure, because all hackers need to do is convince someone to give them their password in something like a fake password reset email."
what are the different types of vulnerabilities in cybersecurity?,"Roughly, there are two types of vulnerabilities: Technical and social. Technical hacks are those that outwit the code itself—it’s like cracking a safe with a drill or by Beautiful Minding the way the safe feels . Social hacks are those that exploit people, like convincing someone that you’re their boss and you need them to send you their email password. Snowflake, and cloud software in general, is probably more technically secure than most self-hosted databases and applications, just as an ATM is probably more physically secure than a safe in someone’s house. But they are almost certainly less socially secure, because all hackers need to do is convince someone to give them their password in something like a fake password reset email.Although, for debit cards, you don’t even need to do that. You can just use “1234,” and you’ll be right 11 percent of the time .Compliance reports also serve the same function for customers. If a vendor gets hacked, the person who bought the software wants to be able to say it’s not their fault either. When Ticketmaster’s CEO calls their CIO into their office and asks how they could’ve let this happen , the CIO can say they did their diligence; Snowflake had all of the right credentials;  blame them ."
why are compliance reports important for companies,"Compliance reports also serve the same function for customers. If a vendor gets hacked, the person who bought the software wants to be able to say it’s not their fault either. When Ticketmaster’s CEO calls their CIO into their office and asks how they could’ve let this happen , the CIO can say they did their diligence; Snowflake had all of the right credentials;  blame them .Imagine that the CEO of a software company has two dials in front of them. One controls the likelihood that their customers’ money and data gets stolen; the other controls the likelihood their company gets blamed for money and data being stolen. Nearly every CEO would set the first dial to 100 percent and the second dial to zero percent before they set both dials to one percent.Although sometimes, it’s about marketing. Does Apple really care that deeply about your privacy? Does Elon Musk ? Probably not. But they can sell privacy as a brand."
why do companies emphasize privacy in their marketing campaigns,"Although sometimes, it’s about marketing. Does Apple really care that deeply about your privacy? Does Elon Musk ? Probably not. But they can sell privacy as a brand.No. I refuse.They have to do some press, because there are often legal and contractual requirements to disclose these sorts of breaches."
how has Silicon Valley culture changed over the years,"In 2012, it was a party. When I moved to Silicon Valley that year, it was no longer a place for nerdy rebels or idealistic misfits, but a place to get rich without feeling guilty about it. After the financial crisis, a generation of country club brats had started questioning if working at McKinsey really was the most prestigious thing that they could do after graduating from Duke, and tech offered a promising alternative. The Nasdaq was on a steady march upwards from its lows in 2009; huge tech IPOs were back ; huge tech acquisitions were back ; Google paid as well as Morgan Stanley, gave you unlimited time off, and didn’t make you work until 8 p.m. if you wanted to eat dinner for free . Back then, you could have it all: Money and status and time off, without being evil , without tucking your shirt in, and without having to leave the office for a couple (dozen) beers.Of course, the whole thing had an ugly underbelly—but the perpetrators of that era’s corporate culture weren't worried about that yet. The prevailing sentiment in most tech offices was optimism. 1 And not for some promising future that we were building, but for the present. It didn’t matter that the old cliché about tech making the world a better place was already a joke , because for much of Silicon Valley, the world was a pretty good place as it was.In 2014, the frat house got raided. The problems in tech’s basement became headlines in the New York Times . Three-character ASCII art and “locker room talk” stopped getting laughs at hack days, and started getting people fired. 2 The working environment inside Github—which, back then, was the pantheon of tech culture; Mecca ; it was every startup’s favorite startup— got its CEO fired . Susan Fowler had a very, very strange year at Uber . It was time to grow up."
how has the tech industry culture evolved over the past decade?,"In 2014, the frat house got raided. The problems in tech’s basement became headlines in the New York Times . Three-character ASCII art and “locker room talk” stopped getting laughs at hack days, and started getting people fired. 2 The working environment inside Github—which, back then, was the pantheon of tech culture; Mecca ; it was every startup’s favorite startup— got its CEO fired . Susan Fowler had a very, very strange year at Uber . It was time to grow up.Moreover, there weren’t just issues with how tech built what it built; what we were building was starting to look problematic too. Taylor Swift went to war against Apple. Amazon no longer felt like the ethical alternative to Walmart . Trump won, and people began to wonder if Facebook had something to do with it.Still, the core promise held: It was prestigious work that paid well. In some ways, the minor reckoning was a good thing for the brand—it was sign of progress, a needed policing of a few bad apples. People began to talk more openly about tech's problems, but few people seemed to entertain working anywhere else."
how has the tech industry evolved over the past decade,"Still, the core promise held: It was prestigious work that paid well. In some ways, the minor reckoning was a good thing for the brand—it was sign of progress, a needed policing of a few bad apples. People began to talk more openly about tech's problems, but few people seemed to entertain working anywhere else.Then, the party was back. A paper by some anonymous libertarian got popular. We were promised digital gold, a self-enforcing legal system, freedom from the tyranny of Janet Yellen, a better way to buy drugs, a way to get rich quick. Nobody quite knew what any of it was for, but a16z liked the idea . A few people got rich; most people got scammed; the two were related .In 2020, a pandemic, and a flash crash—the Nasdaq fell by 31 percent in 33 days, a handful of startups evaporated, and the market was back to setting all-time highs less than 80 days later. Everyone started working out of their bedrooms, got cabin fever , and lost their minds . Venture capitalists unloaded cannons of money as if there was no tomorrow. You could raise a seed round with a pitch deck and a pulse; every series A was ""20 on 100;"" 3 every series B was done by John Curtius . 4 “It’s one ETL tool , Michael, what could it cost ? 1.5 billion dollars?” We were up to our elbows in punch ."
how did the startup ecosystem change during the pandemic?,"In 2020, a pandemic, and a flash crash—the Nasdaq fell by 31 percent in 33 days, a handful of startups evaporated, and the market was back to setting all-time highs less than 80 days later. Everyone started working out of their bedrooms, got cabin fever , and lost their minds . Venture capitalists unloaded cannons of money as if there was no tomorrow. You could raise a seed round with a pitch deck and a pulse; every series A was ""20 on 100;"" 3 every series B was done by John Curtius . 4 “It’s one ETL tool , Michael, what could it cost ? 1.5 billion dollars?” We were up to our elbows in punch .The bowl got yanked away again ; a bank blew up ; venture capitalists lectured everyone about spending as if there was no tomorrow. It was time it sharpen our pencils, and tighten our belts, and trim our fats.But through it all—and even then, in 2022, in the midst of another barrage of layoffs and fire sales—nothing felt fatal. We’d all seen this before; there were no doubts that the sun would rise again tomorrow . We’d get ‘em next year; the boom times would be back; disappointment did not give way to despair. The arena was still a good place to be, and in time, we were destined to be its champions. 5"
how does Silicon Valley handle economic downturns?,"But through it all—and even then, in 2022, in the midst of another barrage of layoffs and fire sales—nothing felt fatal. We’d all seen this before; there were no doubts that the sun would rise again tomorrow . We’d get ‘em next year; the boom times would be back; disappointment did not give way to despair. The arena was still a good place to be, and in time, we were destined to be its champions. 5—In Silicon Valley, there are two sets of physics. The first is the cyclical patterns of the ocean. There are waves: Some technology will be in vogue; others will be out of fashion. Set sail at the right moment and you can find a crest. Plan your voyage wrong, and you get stuck in a storm ."
what are the cyclical patterns in Silicon Valley?,"In Silicon Valley, there are two sets of physics. The first is the cyclical patterns of the ocean. There are waves: Some technology will be in vogue; others will be out of fashion. Set sail at the right moment and you can find a crest. Plan your voyage wrong, and you get stuck in a storm .Work here for a while, though, and you get a feel for the seasons. You can see the waves coming; you figure out how to build a boat that can endure rough waters; you can learn how to read the sky and forecast the weather . Careers in tech aren’t linear, like the slow climb up the corporate ladder at a law firm might be, but they’ve still predictable— and often, predictably good. Keep learning how to sail on this ocean, and you’ll eventually find your wave.Throughout at least the last 12 years, the cycles in Silicon Valley have had this familiar rhythm. There were upbeats and downbeats, but everything stayed in 4/4 time. The debauchery of 2012 had echoes of Liar’s Poker, of my cousins’ stories of Silicon Valley in 1999, and of my classmates’ stories about investment banking in 2006. The first crypto boom was weird, but an eccentric appendage of “core tech,” more financial engineering than software engineering. The mainstream stuff, like SaaS and consumer tech, was still an appealing bet for ambitious entrepreneurs. Throughout the pandemic of 2020 and the profligacy of 2021, the waves got bigger, but they retained their essential physics. And during the bad times of 2022, Silicon Valley’s annoited sages played the usual hits : Hunker down, buckle up, build on, and trust the process ."
how has the rhythm of Silicon Valley changed over the years?,"Throughout at least the last 12 years, the cycles in Silicon Valley have had this familiar rhythm. There were upbeats and downbeats, but everything stayed in 4/4 time. The debauchery of 2012 had echoes of Liar’s Poker, of my cousins’ stories of Silicon Valley in 1999, and of my classmates’ stories about investment banking in 2006. The first crypto boom was weird, but an eccentric appendage of “core tech,” more financial engineering than software engineering. The mainstream stuff, like SaaS and consumer tech, was still an appealing bet for ambitious entrepreneurs. Throughout the pandemic of 2020 and the profligacy of 2021, the waves got bigger, but they retained their essential physics. And during the bad times of 2022, Silicon Valley’s annoited sages played the usual hits : Hunker down, buckle up, build on, and trust the process .It was trite, but seemed basically correct? Even if everything collapsed, the great shroud of the sea would roll on as it rolled five thousand startups ago. We would build another boat and sail on, a little bit wiser about how to navigate whatever storms and swells might be coming next.But now, man, I don't know."
how has the landscape of Silicon Valley changed in the past year,"But now, man, I don't know.—Because in the last year, the second set of physics in Silicon Valley—the foundational laws of the ocean, of the atmosphere, of what floats and what sinks—seem to be breaking down."
why is there a sudden surge in AI-focused startups and investments?,"Because in the last year, the second set of physics in Silicon Valley—the foundational laws of the ocean, of the atmosphere, of what floats and what sinks—seem to be breaking down.We have become obsessed with AI. Fifty percent of the startups in Y Combinator are building around it. Eighty-five percent of tech companies in the S&P 500 are talking about it. Companies are rebranding themselves around it. Snowflake is no longer a database, or The Data Cloud, but the AI Data Cloud™. Asana is the “#1 AI work management platform.” 6 Intercom is AI-first . No, Zendesk is AI-first . 7 We are impaneling conferences about AI; raising venture funds ; 8 starting newsletters; hosting emergency podcasts. This is not an iPhone moment or the next internet , because those things had naysayers . Now, the only debate seems to be about which side of the AI revolution human beings will be on .It’s the crypto gold rush all over again, except the winners are paid in legal tender . It’s the crypto gold rush, except the losers won’t just miss out on some money; they’ll get steamrolled into obsolescence. And so we’re all frantically building new features— 60 percent of one VC’s portfolio is already using generative AI in their product. We’re launching new companies. We’re investing in new startups. We’re turning tech on a dime, all trying to skate where the puck is going."
how is the rise of AI affecting the tech industry?,"It’s the crypto gold rush all over again, except the winners are paid in legal tender . It’s the crypto gold rush, except the losers won’t just miss out on some money; they’ll get steamrolled into obsolescence. And so we’re all frantically building new features— 60 percent of one VC’s portfolio is already using generative AI in their product. We’re launching new companies. We’re investing in new startups. We’re turning tech on a dime, all trying to skate where the puck is going.On the surface, everyone is confident. What they’re selling, you’ll be buying. In an AI-powered future, data quality will be even more critical. Your CRM will be even more critical. Your e-signature management platform will be even more critical. Your useless blog subscriptions will be even more critical. The future is oh so exciting, we say in public.But in private, the vibe is different. Beneath the showy confidence, there’s a shaky unease. Nobody knows where the puck is going. The puck is teleporting. The puck is from another dimension—one in which computers speak English and can’t do math. The puck might get obliterated by GPT-5, and our current standing in the social order might get obliterated with it. We launched the AI features, but nobody uses them ; are we sure we’re made the right bets? Are we sailing on the same ocean, the ocean we’ve spent our careers exploring? Will the the new ocean be better for someone else ? Even if we don’t get outright replaced—which I don’t think is behind the creeping anxiety—are we sure the skills we’ve learned and the boats we’ve built for the old tides will still be seaworthy? Are we sure our new startup is future-proof ? Apple events were fun, a chance to see some cool new gadgets, and to think about ways we could use them. OpenAI events are the reaping . We act excited, but deep down, we’re just hoping to survive."
why is there so much uncertainty in Silicon Valley right now,"But in private, the vibe is different. Beneath the showy confidence, there’s a shaky unease. Nobody knows where the puck is going. The puck is teleporting. The puck is from another dimension—one in which computers speak English and can’t do math. The puck might get obliterated by GPT-5, and our current standing in the social order might get obliterated with it. We launched the AI features, but nobody uses them ; are we sure we’re made the right bets? Are we sailing on the same ocean, the ocean we’ve spent our careers exploring? Will the the new ocean be better for someone else ? Even if we don’t get outright replaced—which I don’t think is behind the creeping anxiety—are we sure the skills we’ve learned and the boats we’ve built for the old tides will still be seaworthy? Are we sure our new startup is future-proof ? Apple events were fun, a chance to see some cool new gadgets, and to think about ways we could use them. OpenAI events are the reaping . We act excited, but deep down, we’re just hoping to survive.Is Silicon Valley back , or is Silicon Valley coming unglued? The old foundations are buckling. It’s the end of software —though notes like these don’t feel like just predictions, but self-affirmations, that if we act like we know what’s coming, we can manifest our own continued relevance. Do we build a team to build a business, or just build a team? The best acquisitions are now acquihires— 650 million dollars for the leadership team of Inflection AI; 1.3 billion dollars for a bunch of GPUs and a team of AI researchers; 150 million dollars for a new CEO ; 1 to 2 billion dollars for the chair of an open-source project.In a founder email list I’m on, more people than ever seem to be eschewing venture capital because they want to build a “real” business, or buy a bunch of cleaning companies and become a micro PE firm. Is happiness in Silicon Valley is no longer a traditional startup, but a bootstrapped business and taking fistfuls on longevity pills? Venture capitalists are also preaching fiscal responsibility. It’s the end of easy money; the age of austerity, the year of efficiency , a time to play to make plan —but also, some French AI startup you’ve never heard of just raised 220 million dollars in a seed round . There are no reliable physics anymore."
what are the current trends and sentiments in Silicon Valley?,"In a founder email list I’m on, more people than ever seem to be eschewing venture capital because they want to build a “real” business, or buy a bunch of cleaning companies and become a micro PE firm. Is happiness in Silicon Valley is no longer a traditional startup, but a bootstrapped business and taking fistfuls on longevity pills? Venture capitalists are also preaching fiscal responsibility. It’s the end of easy money; the age of austerity, the year of efficiency , a time to play to make plan —but also, some French AI startup you’ve never heard of just raised 220 million dollars in a seed round . There are no reliable physics anymore.Get rid of the classic product management , says one founder worth 10 billion dollars. Get rid of management altogether , says another founder worth ten times that. Elon Musk is seceding to Austin . Founders Fund is seceding to Miami . Politics is banned ; politics has Sand Hill Road’s usually chummy cocktail class at each other’s throats . The 2024 election hasn’t even started yet.Is it the end of something? Is some era dead? Are we getting getting eaten ? Is it time to build ? I don’t know. The ocean is changing too quickly; the weather is too unfamiliar. The moment betrays buzzy headlines and showy predictions. Whatever gets made now will likely be upended two or three times before the sea settles down. The best reason to build a boat today may not be to make something that endures, but simply to be out on the ocean, for whenever it finds its rhythm again. Because the water is convulsing in weird ways, and you don’t fight the sea."
how do you navigate uncertain times,"Is it the end of something? Is some era dead? Are we getting getting eaten ? Is it time to build ? I don’t know. The ocean is changing too quickly; the weather is too unfamiliar. The moment betrays buzzy headlines and showy predictions. Whatever gets made now will likely be upended two or three times before the sea settles down. The best reason to build a boat today may not be to make something that endures, but simply to be out on the ocean, for whenever it finds its rhythm again. Because the water is convulsing in weird ways, and you don’t fight the sea.If you’re a famous rapper and you’re in the middle of a very public rap battle with another famous rapper, you have two choices:You can drop a new diss song."
what are the challenges of participating in a rap battle?,"You can drop a new diss song.You can not drop a new diss song.There are your only two choices, and neither are ideal. If you don’t put out a song, people— including the person you’re battling —might call you a coward. This is bad in a rap battle. You cannot win a rap battle without battling in it. 9"
what are the risks and strategies involved in a rap battle?,"There are your only two choices, and neither are ideal. If you don’t put out a song, people— including the person you’re battling —might call you a coward. This is bad in a rap battle. You cannot win a rap battle without battling in it. 9But putting out a song is risky. If people like the song, they’ll make memes about it and you will score a lot of points. This will be good for you and bad for your opponent. If people don’t like the song, however, people will also make memes about it—but they will be bad for you and good for your opponent. Hence the choice, about what to do, if you are in a rap battle: Don’t drop a song and take a guaranteed small loss, or do drop and wait for the internet to decide if you put out a banger or a bomb.Ideally, you wouldn’t have to make this choice. Your best option is option three: Record the song and figure out if people like it before you drop it. Unfortunately, as a famous rapper, you can’t do this. Nothing would lose a rap battle faster than people finding out that you focus grouped your diss song. And you can’t secretly release the song either—everyone knows what your voice sounds like."
what are the challenges famous artists face when releasing new music,"Ideally, you wouldn’t have to make this choice. Your best option is option three: Record the song and figure out if people like it before you drop it. Unfortunately, as a famous rapper, you can’t do this. Nothing would lose a rap battle faster than people finding out that you focus grouped your diss song. And you can’t secretly release the song either—everyone knows what your voice sounds like.Anyway, last week, Drake, who was last seen getting humiliated by Kendrick Lamar in a rap battle, dropped a new song on Soundcloud. Or maybe he didn’t?Late on Monday, the internet exploded with a version of the Plain White T’s moody 2005 hit sung in Caribbean patois in what sounds like Drake‘s voice (but these days, who knows?). The cover, titled “Wah Gwan Delilah” and filled with Toronto references and slang, was uploaded by SoundCloud user Snowd4y and claims to feature Drake."
how is AI changing the music industry?,"Late on Monday, the internet exploded with a version of the Plain White T’s moody 2005 hit sung in Caribbean patois in what sounds like Drake‘s voice (but these days, who knows?). The cover, titled “Wah Gwan Delilah” and filled with Toronto references and slang, was uploaded by SoundCloud user Snowd4y and claims to feature Drake.The track has more than 200,000 plays on SoundCloud and immediately went viral on Twitter. But is it real ?Previously, if you heard a song with Drake’s voice, you wouldn’t wonder if it was Drake or not. Now, with AI, we don’t know anymore. It could be Drake; it could be a random woman in a basement with a Speechify subscription and a Soundcloud account. It could be The Weeknd; it could be ghostwriter997 . It could be Eminem; it could be David Guetta . We used to be able to know if a song was real by listening to it; now, the only way to know it’s real is if person in it tells us that it is."
how is AI changing the music industry?,"Previously, if you heard a song with Drake’s voice, you wouldn’t wonder if it was Drake or not. Now, with AI, we don’t know anymore. It could be Drake; it could be a random woman in a basement with a Speechify subscription and a Soundcloud account. It could be The Weeknd; it could be ghostwriter997 . It could be Eminem; it could be David Guetta . We used to be able to know if a song was real by listening to it; now, the only way to know it’s real is if person in it tells us that it is.But they don’t have to tell the truth. Drake can make a song, release it under some other account, promote it without saying if it’s his , and then decide if he wants to tell people he made it. The flops can be fun fanfic. The hits can be his. But they’re actually all his. 10When people talk about the dangers of AI, they often talk about deep fakes, which are AI-generated images and videos that appear real. As bad as these are, they’re only half the problem. We’ll also have to deal with false fakes. People can now—very plausibly!—claim that something that’s real was made by AI. That dud? Not mine. That embarrassing photo? Adobe Generative Fill and a smear campaign. That hot mic? I never said that."
how will AI impact accountability and trust in the digital age,"When people talk about the dangers of AI, they often talk about deep fakes, which are AI-generated images and videos that appear real. As bad as these are, they’re only half the problem. We’ll also have to deal with false fakes. People can now—very plausibly!—claim that something that’s real was made by AI. That dud? Not mine. That embarrassing photo? Adobe Generative Fill and a smear campaign. That hot mic? I never said that.Though “my account got hacked” was always a suspect excuse for doing something dumb online, it was useful because it could plant a seed of unresolvable doubt. Unless someone admitted that they were lying, you could never prove the negative. “That’s AI-generated” could become the same generic defense—never probable, but now, always possible.The optimism was less widespread in women's bathrooms, whisper networks, and crowdsourced Google docs ."
how has workplace culture changed in the tech industry over the past decade,"The optimism was less widespread in women's bathrooms, whisper networks, and crowdsourced Google docs .Three months before this clown show , roughly the same thing happened at a hack day of a company where I worked. Some guy made a bunch of suggestive jokes that eventually culminated in him unzipping his pants and pulling a rolled up piece of paper out of them; he was fired before the next presentation was over. Which, on one hand, yes, obviously. On the other hand, had he done that a year ago, he probably would’ve gotten a slap on the wrist in public and high fives in private.As in, raise 20 million dollars at a 100 million dollar valuation."
why is the tech industry both appealing and problematic,"As in, raise 20 million dollars at a 100 million dollar valuation.I mean, no, obviously not; this is a joke. But it’s not that much of a joke! Curtius did 250 deals! In five years at Tiger! That’s one a week! He was invested in half—half!—of Forbes’ top 100 cloud companies. That is wild!To be clear, the arena wasn’t a good place for everyone, and lots of people have been badly mistreated in it. But the arena was an overwhelmingly desirable place to be. That’s one of the reasons why tech’s toxic elements are so pernicious: They exclude people from what could otherwise be a very rewarding career."
how has the tech industry evolved over the years,"To be clear, the arena wasn’t a good place for everyone, and lots of people have been badly mistreated in it. But the arena was an overwhelmingly desirable place to be. That’s one of the reasons why tech’s toxic elements are so pernicious: They exclude people from what could otherwise be a very rewarding career.What on earth does that even mean.Which one is first??! Which Joe’s is the original one????"
What are some common misconceptions about investing in AI?,"Which one is first??! Which Joe’s is the original one????These funds invest in AI, not CSS.Or maybe you can?"
how does dbt work in data modeling?,"One way to think about a dbt model is that it’s a table. It’s easy to think this, because most dbt models do, literally, create tables in a database. A company might have a products table that’s imported from their inventory management system, a charges table that’s imported from their Stripe account, and a dbt model called orders that combines the two into a table that contains details about anything anyone ever bought from the company. That dbt model will be a SQL query; the output of the SQL query will be a table.But another way to think about a dbt model is that it’s a function . The data team is trying to create something—in this case, a list of everything the company has ever sold—and the orders model takes two tables as inputs and produces a new table as its output. The model is a formula that contains a bunch of computational logic that describes how to do that calculation.A dbt project, then, is roughly analogous to a program. Each model is a function. The functions can reference one another. And the functions’ authors layer them on top of each other, with the goal of producing a collection of tables 1 that people can use to build dashboards and answer questions."
how has data modeling evolved over the years,"A dbt project, then, is roughly analogous to a program. Each model is a function. The functions can reference one another. And the functions’ authors layer them on top of each other, with the goal of producing a collection of tables 1 that people can use to build dashboards and answer questions.Of course, dbt Labs didn’t invent this sort of data modeling “program.” Prior to dbt, data teams used other tools to manufacture the datasets that people used to build reports and do analysis. But, the previous versions of these programs were hard to write. They were written in languages that are less accessible than SQL; they ran against databases that were relatively slow and relatively easy to break; the production datasets were sometimes complex and confusing objects like OLAP cubes. To create the orders tables in an Oracle Database 10 g in 2004, you had to design a table was legible to Oracle’s BI tool, write your own CREATE statements that produce that table, hand-code things like transaction blocks to make sure your script doesn’t nuke the entire database or send it spiraling into some infinite loop , index your new table correctly, figure out somewhere to deploy the script, and then monitor the whole thing to make sure that a missing shrink operation doesn’t grind your 10 g into useless brick. And if you had lots of models that used your orders table as an input, you had to figure out how to make sure they always run at the right times, in the right order.It was hard. It took time to learn how to do it. One does not simply walk into orders tables; they take the Oracle 2 Day DBA course first."
how has the process of data modeling evolved over time?,"It was hard. It took time to learn how to do it. One does not simply walk into orders tables; they take the Oracle 2 Day DBA course first.The people who took those sorts of courses, however, didn’t just learn technical skills. They also learned about the art of data modeling. They learned how to organize and arrange the various functions in their “program” so that they’d be easy to update. They learned how to design efficient functions that wouldn’t crash the database. They learned how to structure the final datasets that they produced so that they would be easy to use. It wasn’t perfect, by any means, but there was a sense of rigor to the entire exercise. People wrote “ definitive guides ” about it.dbt changed all this—mostly for the better, but a bit for the worse. People could construct data models in pure SQL; they didn’t need to worry about things like transaction blocks or table indexes or DDL; dbt handled the dependency graph between models and made sure everything always ran in order. Moreover, modern databases made everything much more durable—whereas an inefficient model might knock down an old Teradata warehouse or Hadoop cluster, products like Redshift and Snowflake could absorb it."
